sort,book,chapter,verse,es-419,en
184553477,JHN,1,5,La luz brilla en la oscuridad y la oscuridad no la extinguió.,"The light shines in the darkness, and the darkness did not overcome it."
184553478,JHN,1,6,"Hubo un hombre enviado de Dios, cuyo nombre era Juan.","There was a man who was sent from God, whose name was John."
184553479,JHN,1,7,"Él vino como testigo para testificar acerca de la Luz, para que todos pudiesen creer por medio de él.","He came as a witness to testify about the light, that all might believe through him."
184553480,JHN,1,8,"Juan no era la luz, pero vino para poder testificar acerca de la Luz.","John was not the light, but came that he might testify about the light."
184553481,JHN,1,9,"Ésta era la Luz verdadera, que da luz a todo hombre, y esta luz viene al mundo.","The true light, which gives light to all men, was coming into the world."
184553482,JHN,1,10,Él estaba en el mundo y el mundo fue hecho por medio de Él y el mundo no lo conoció.,"He was in the world, and the world was made through him, and the world did not know him."
184553483,JHN,1,11,"Él vino a lo suyo, y los suyos no lo recibieron.","He came to his own, and his own did not receive him."
184553484,JHN,1,12,"Pero a todos los que le recibieron, quienes creen en su nombre, Él les dió el derecho de ser hijos de Dios.","But to as many as received him, who believed in his name, he gave the right to become children of God."
184553485,JHN,1,13,"Estos no nacieron de sangre, ni de la voluntad de la carne, ni de la voluntad del hombre, sino de Dios.","These were not born of blood, nor of the will of the flesh, nor of the will of man, but of God."
184553486,JHN,1,14,"Y la Palabra se hizo carne y habitó entre nosotros. Hemos visto Su gloria, gloria como del Único que vino del Padre, lleno de gracia y verdad.","The Word became flesh and lived among us. We have seen his glory, glory as of the one and only who came from the Father, full of grace and truth."
184553487,JHN,1,15,"Juan testificó acerca de Él y clamaba diciendo: ""Éste es de quien yo hablaba: 'El que viene después de mí es más que yo, pues Él era antes que yo.'","John testified about him and cried out, saying, ""This was the one of whom I said, 'He who comes after me is greater than I am, for he was before me.'"""
184553488,JHN,1,16,Porque de su plenitud todos hemos recibido gracia sobre gracia.,For from his fullness we have all received grace after grace.
184553489,JHN,1,17,Porque la ley fue dada a través de Moisés. La gracia y la verdad llegaron a través de Jesucristo.,For the law was given through Moses. Grace and truth came through Jesus Christ.
184553490,JHN,1,18,"Nadie ha visto a Dios en ningún momento. El Hijo Único, quien está en el regazo del Padre, Él lo ha dado a conocer.","No one has ever seen God; the only God, who is at the Father's side, he has made God known."
184553491,JHN,1,19,"Y este es el testimonio de Juan, cuando los judíos le enviaron sacerdotes y levitas desde Jerusalén para preguntarle: ""¿quién eres tú?""","This is the testimony of John when the Jews sent priests and Levites to him from Jerusalem to ask him, ""Who are you?"""
184553492,JHN,1,20,"Libremente les declaró y no negó, sino que confesó: ""Yo no soy el Cristo.""","He confessed—he did not deny, but confessed—""I am not the Christ."""
184553493,JHN,1,21,"Así que ellos le preguntaron: ""¿Quién eres entonces? ¿Eres Elías?"" Él dijo: ""Yo no soy."" Ellos dijeron: ""¿Eres tú el Profeta?"" Él contestó: ""No.""","So they asked him, ""What are you then? Are you Elijah?"" He said, ""I am not."" They said, ""Are you the prophet?"" He answered, ""No."""
184553494,JHN,1,22,"Entonces ellos le dijeron: ""¿Quién eres tú?, para que podamos dar una respuesta a aquéllos quienes nos enviaron. ¿Qué dices acerca de ti mismo?""","Then they said to him, ""Who are you, so that we may give an answer to those who sent us? What do you say about yourself?"""
184553495,JHN,1,23,"Él dijo: ""Yo soy una voz, que clama en el desierto: 'Enderezad el camino del Señor', como dijo Isaías el profeta"".","He said, ""I am a voice, crying in the wilderness: 'Make the way of the Lord straight,' just as Isaiah the prophet said."""
184553496,JHN,1,24,Y los que fueron enviados eran de los fariseos.,"Now some from the Pharisees were sent,"
184553497,JHN,1,25,"Y preguntaron y le dijeron a él: ""¿Por qué bautizas, entonces, si no eres el Cristo, ni Elías, ni el profeta?""","and they asked him and said to him, ""Why do you baptize, then, if you are not the Christ nor Elijah nor the prophet?"""
184553498,JHN,1,26,"Y Juan les contestó diciéndoles: ""Yo bautizo con agua. Pero, entre ustedes está Uno que ustedes no conocen;","John answered them, saying, ""I baptize with water. But among you stands someone you do not know."
184553499,JHN,1,27,"Éste es el que viene después de mí, a quien no soy digno de desatar la correa de su sandalia.""","He is the one who comes after me, the strap of whose sandal I am not worthy to untie."""
184553500,JHN,1,28,"Estas cosas sucedieron en Betania al otro lado del Jordán, donde Juan bautizaba.","These things were done in Bethany on the other side of the Jordan, where John was baptizing."
184553501,JHN,1,29,"El próximo día, Juan vio a Jesús acercándose a él y dijo: ""¡He aquí el Cordero de Dios que quita el pecado del mundo!","The next day John saw Jesus coming to him and said, ""Look, there is the Lamb of God who takes away the sin of the world!"
184553502,JHN,1,30,"Éste es de quien yo dije: 'Después de mí viene un hombre que es antes que yo, porque era primero que yo.'","This is the one of whom I said, 'The one who comes after me is more than me, for he was before me.'"
184553503,JHN,1,31,"Yo no lo conocía, pero por esto yo vine bautizando con agua para que Él pudiera ser revelado a Israel.""","I did not know him, but it was so that he could be revealed to Israel that I came baptizing with water."""
184553504,JHN,1,32,"Juan testificó, diciendo: ""Yo ví el Espíritu descendiendo como una paloma del cielo y permaneció sobre Él.","John testified, saying, ""I saw the Spirit coming down like a dove from heaven, and it stayed upon him."
184553505,JHN,1,33,"Y yo no le conocía, pero El que me envió a bautizar en agua me dijo: 'Sobre quien veas el Espíritu descender y permanecer sobre Él, ése es el que bautiza en el Espíritu Santo.'","I did not recognize him, but he who sent me to baptize in water said to me, 'The one on whom you see the Spirit come down and remain, he is the one who will baptize with the Holy Spirit.'"
184553506,JHN,1,34,"Yo he visto y testificado que Éste es el Hijo de Dios.""","I have both seen and testified that this is the Son of God."""
184553507,JHN,1,35,"Nuevamente, al otro día, mientras Juan estaba con dos de sus discípulos,","Again, the next day, as John was standing with two of his disciples,"
184553508,JHN,1,36,"viendo a Jesús pasar, dijo: ""¡Mirad, el Cordero de Dios!""","they saw Jesus walking by, and John said, ""Look, the Lamb of God!"""
184553509,JHN,1,37,"Y los dos discípulos oyéndole decir esto, siguieron a Jesús.",His two disciples heard him say this and they followed Jesus.
184553510,JHN,1,38,"Entonces Jesús se volvió y viendo que le seguían, les dijo: ""¿Qué buscan?"" Ellos contestaron: ""Rabí (que traducido significa 'maestro'), ¿dónde moras?""","Then Jesus turned and saw them following him and said to them, ""What are you looking for?"" They replied, ""Rabbi"" (which is translated ""Teacher""), ""where are you staying?"""
184553511,JHN,1,39,"Él les dijo: ""Vengan y verán."" Luego ellos vinieron y vieron dónde vivía; y se quedaron con Él ese día, porque era casi la hora décima.","He said to them, ""Come and see."" Then they came and saw where he was staying; they stayed with him that day, for it was about the tenth hour."
184553512,JHN,1,40,"Uno de los dos que escuchó a Juan hablar y luego siguió a Jesús fue Andrés, el hermano de Simón Pedro.","One of the two who heard John speak and then followed Jesus was Andrew, the brother of Simon Peter."
184553513,JHN,1,41,"Él encontró primero a su propio hermano Simón, y le dijo: ""Hemos encontrado al Mesías"" (que traducido es Cristo).","He first found his own brother Simon and said to him, ""We have found the Messiah"" (which is translated ""Christ"")."
184553514,JHN,1,42,"Entonces lo trajo a Jesús. Jesús lo miró, y dijo: ""Tú eres Simón, el hijo de Juan. Tú serás llamado Cefas"" (que se traduce Pedro).","He brought him to Jesus, and Jesus looked at him and said, ""You are Simon son of John. You will be called Cephas"" (which is translated ""Peter"")."
184553515,JHN,1,43,"El siguiente día, cuando Jesús quiso salir hacia Galilea, encontró a Felipe y le dijo: ""Sígueme.""","The next day, when Jesus wanted to leave to go to Galilee, he found Philip and said to him, ""Follow me."""
184553516,JHN,1,44,"Felipe era de Betzaida, la ciudad de Andrés y de Pedro.","Now Philip was from Bethsaida, the city of Andrew and Peter."
184553517,JHN,1,45,"Felipe encontró a Natanael y le dijo: ""Hemos hallado a Aquél de quien escribió Moisés en la ley y los profetas, a Jesús, el hijo de José de Nazaret.""","Philip found Nathaniel and said to him, ""He of whom Moses wrote in the law, and the prophets, we have found him: Jesus son of Joseph, from Nazareth."""
184553518,JHN,1,46,"Natanael le dijo: ""¿Podrá alguna cosa buena salir de Nazaret?"" Felipe le dijo: ""Ven y ve.""","Nathaniel said to him, ""Can any good thing come out of Nazareth?"" Philip said to him, ""Come and see."""
184553519,JHN,1,47,"Jesús vio a Natanael acercándose a Él y dijo acerca de él: ""Miren, un verdadero israelita, en quien no hay engaño!""","Jesus saw Nathaniel coming to him and said about him, ""See, a true Israelite, in whom is no deceit!"""
184553520,JHN,1,48,"Natanael le dijo: ""¿de dónde me conoces?"" Jesús contestó y le dijo: ""Antes de que Felipe te llamara, cuando te encontrabas bajo la higuera, Yo te vi.""","Nathaniel said to him, ""How do you know me?"" Jesus answered and said to him, ""Before Philip called you, when you were under the fig tree, I saw you."""
184553521,JHN,1,49,"Natanael contestó: ""¡Rabí, Tú eres el Hijo de Dios! ¡Tú eres el Rey de Israel!""","Nathaniel replied, ""Rabbi, you are the Son of God! You are the King of Israel!"""
184553522,JHN,1,50,"Jesús contestó y le dijo: ""Porque te dije: '¿Te vi debajo de la higuera’, ahora crees? Cosas mayores que éstas verás.""","Jesus replied and said to him, ""Because I said to you, 'I saw you underneath the fig tree,' do you believe? You will see greater things than this."""
184553523,JHN,1,51,"Y Él les dijo: ""De verdad, de verdad les digo a ustedes: Que verán el cielo abierto, y los ángeles de Dios subiendo y bajando sobre el Hijo del Hombre.""","Then he said, ""Truly, truly, I say to you, you will see the heavens opened, and the angels of God ascending and descending upon the Son of Man."""
184557569,JHN,2,1,"Tres días después, hubo una boda en Caná de Galilea, y la madre de Jesús estaba allí.","Three days later, there was a wedding in Cana of Galilee, and the mother of Jesus was there."
184557570,JHN,2,2,Jesús y sus discípulos fueron invitados a la boda.,Jesus and his disciples were invited to the wedding.
184557571,JHN,2,3,"Cuando se acabó el vino, la madre de Jesús le dijo: ""Ellos no tienen vino.""","When the wine ran out, the mother of Jesus said to him, ""They have no wine."""
184557572,JHN,2,4,"Jesús le dijo: ""Mujer, ¿por qué vienes a Mí? Mi tiempo aún no ha llegado.""","Jesus said to her, ""Woman, why do you come to me? My time has not yet come."""
184557573,JHN,2,5,"Su madre les dijo a los sirvientes: ""Cualquier cosa que Él les diga, háganlo.""","His mother said to the servants, ""Whatever he says to you, do it."""
184557574,JHN,2,6,"Allí había seis vasijas de piedra, utilizadas para la purificación (lavado ceremonial) de los judíos; en cada vasija cabían de setenta a ciento quince litros.","Now there were six stone water pots there used for the Jewish ceremonial washing, each containing two to three metretes."
184557575,JHN,2,7,"Jesús les dijo: ""Llenen las vasijas con agua."" Así que las llenaron hasta el borde.","Jesus said to them, ""Fill the water pots with water."" So they filled them up to the brim."
184557576,JHN,2,8,"Entonces les dijo a los sirvientes: ""Saquen un poco ahora y llévenlo al maestresala."" Y así lo hicieron.","Then he told the servants, ""Take some out now and take it to the head waiter."" So they did."
184557577,JHN,2,9,"El maestresala probó el agua que había sido convertida en vino, pero no sabía de dónde había venido (pero los sirvientes que habían extraído el agua sabían). Entonces él llamó al novio","The head waiter tasted the water that had become wine, but he did not know where it came from (but the servants who had drawn the water knew). Then he called the bridegroom"
184557578,JHN,2,10,"y le dijo: ""Todo hombre sirve primero el buen vino y cuando ya han tomado bastante, sirve el vino barato. Pero tú has guardado el vino bueno hasta ahora.""","and said to him, ""Every man serves the good wine first and then the cheaper wine when they are drunk. But you have kept the good wine until now."""
184557579,JHN,2,11,"Esta primera señal la hizo Jesús en Caná de Galilea, y reveló su gloria, y sus discípulos creyeron en Él.","This first sign Jesus did in Cana of Galilee, and he revealed his glory, and his disciples believed in him."
184557580,JHN,2,12,"Después de esto, Jesús, su madre, sus hermanos, y sus discípulos, bajaron a Capernaúm y allí se quedaron por varios días.","After this Jesus, his mother, his brothers, and his disciples went down to Capernaum and they stayed there for a few days."
184557581,JHN,2,13,"La Pascua de los judíos estaba cerca, y Jesús subió a Jerusalén.","Now the Passover of the Jews was near, and Jesus went up to Jerusalem."
184557582,JHN,2,14,"Y encontró en el templo a vendedores de bueyes, ovejas y palomas, y a los cambistas de dinero allí sentados.","He found sellers of oxen and sheep and pigeons in the temple, and the money changers were sitting there."
184557583,JHN,2,15,"Así que preparó un látigo de cuerdas y sacó a todos del templo, incluyendo a las ovejas y los bueyes. Él desparramó las monedas de los cambistas y volcó sus mesas.","So he made a whip of cords and drove all of them out from the temple, including both the sheep and the cattle. He scattered the coins of the money changers and turned their tables over."
184557584,JHN,2,16,"les dijo a los que vendían palomas: ""Sacad estas cosas de aquí. Dejen de hacer de la casa de Mi Padre un mercado.""","To the pigeon sellers he said, ""Take these things away from here. Stop making the house of my Father a marketplace."""
184557585,JHN,2,17,"Sus discípulos recordaron que estaba escrito: ""EL CELO DE TU CASA ME CONSUME"".","His disciples remembered that it was written, ""Zeal for your house will consume me."""
184557586,JHN,2,18,"Entonces las autoridades judías le respondieron: ""¿Qué señal nos muestras, ya que haces estas cosas?""","Then the Jewish authorities responded and said to him, ""What sign will you show us, since you are doing these things?"""
184557587,JHN,2,19,"Jesús les respondió: ""Destruyan este templo, y en tres días lo levantaré.""","Jesus replied, ""Destroy this temple, and in three days I will raise it up."""
184557588,JHN,2,20,"Entonces las autoridades judías dijeron: ""¿Tomó cuarenta y seis años construir este templo, y tú lo levantarás en tres días?""","Then the Jewish authorities said, ""This temple was built in forty-six years, and you will raise it up in three days?"""
184557589,JHN,2,21,Pero Él hablaba sobre el templo de Su cuerpo.,"However, he was speaking about the temple of his body."
184557590,JHN,2,22,"Así que, después que fue levantado de entre los muertos, sus discípulos recordaron que Él había dicho esto, y creyeron la Escritura y en la palabra que Jesús les había hablado.","After he was raised from the dead, his disciples remembered that he said this, and they believed the scripture and this statement that Jesus had spoken."
184557591,JHN,2,23,"Ahora cuando Él se encontraba en Jerusalén en la Pascua, durante la fiesta, muchos creyeron en Su nombre cuando vieron las señales milagrosas que Él hizo.","Now when he was in Jerusalem at the Passover festival, many believed in his name when they saw the signs that he did."
184557592,JHN,2,24,"Pero Jesús no confiaba en ellos porque Él conocía a todos,","But Jesus did not trust in them because he knew them all,"
184557593,JHN,2,25,"porque no necesitaba que nadie le testificara acerca del hombre, porque Él sabía lo que había en el hombre.","because he did not need anyone to testify to him about man, for he knew what was in man."
184561665,JHN,3,1,"Ahora, había un fariseo el cual se llamaba Nicodemo, un líder judío.","Now there was a Pharisee whose name was Nicodemus, a Jewish leader."
184561666,JHN,3,2,"Este hombre vino a Jesús de noche y le dijo: ""Rabí, sabemos que eres un maestro enviado por Dios, porque ninguna persona puede hacer las señales que Tú haces a menos que Dios esté con él.""","This man came to Jesus at night and said to him, ""Rabbi, we know that you are a teacher that came from God, for no one can do these signs that you do unless God is with him."""
184561667,JHN,3,3,"Jesús le contestó: ""Verdaderamente te aseguro, a menos que alguien no nazca de nuevo, no podrá ver el reino de Dios.""","Jesus replied to him, ""Truly, truly, unless someone is born again, he cannot see the kingdom of God."""
184561668,JHN,3,4,"Nicodemo le dijo: ""¿Cómo puede un hombre volver a nacer siendo viejo? ¿Acaso puede el hombre entrar por segunda vez en el vientre de su madre y nacer? ¿Puede?","Nicodemus said to him, ""How can a man be born when he is old? He cannot enter a second time into his mother's womb and be born, can he?"""
184561669,JHN,3,5,"Jesús le contestó: ""Verdaderamente, a menos que alguien no nazca del agua y del Espíritu, no podrá entrar en el reino de Dios.","Jesus replied, ""Truly, truly, unless someone is born of water and the Spirit, he cannot enter into the kingdom of God."
184561670,JHN,3,6,"Porque lo que es nacido de la carne, carne es, y lo que es nacido del Espíritu, espíritu es.","That which is born of the flesh is flesh, and that which is born of the Spirit is spirit."
184561671,JHN,3,7,No te maravilles de que te haya dicho: 'Tienes que nacer de nuevo.',"Do not be amazed that I said to you, 'You must be born again.'"
184561672,JHN,3,8,"El viento sopla hacia donde quiere, tú escuchas su sonido, pero tú no sabes de dónde viene o hacia dónde va. Así también es todo aquel que es nacido del Espíritu.""","The wind blows wherever it wishes; you hear its sound, but you do not know where it comes from or where it is going. So is everyone who is born of the Spirit."""
184561673,JHN,3,9,"Nicodemo preguntó: ""¿Cómo pueden ser estas cosas?""","Nicodemus replied and said to him, ""How can these things be?"""
184561674,JHN,3,10,"Jesús le respondió: ""¿Eres tú maestro de Israel y aun así no entiendes estas cosas?","Jesus answered and said to him, ""Are you a teacher of Israel, and yet you do not understand these things?"
184561675,JHN,3,11,"Verdaderamente, a ti te digo, que hablamos lo que sabemos, y testificamos de lo que hemos visto. Sin embargo, ustedes no reciben nuestro testimonio.","Truly, truly, I say to you, we speak what we know, and we testify about what we have seen. Yet you do not accept our testimony."
184561676,JHN,3,12,"Si les he hablado de cosas terrenales y no creen, ¿cómo creerán si les hablo las cosas celestiales?","If I told you about earthly things and you do not believe, how will you believe if I tell you about heavenly things?"
184561677,JHN,3,13,Nadie ha subido al cielo excepto Aquél que descendió del cielo: el Hijo del Hombre.,No one has ascended into heaven except he who descended from heaven—the Son of Man.
184561678,JHN,3,14,"Así como Moisés levantó la serpiente en el desierto, así también es necesario que el Hijo del Hombre sea levantado","Just as Moses lifted up the serpent in the wilderness, so must the Son of Man be lifted up,"
184561679,JHN,3,15,"para que todo el que cree en Él, tenga vida eterna.",so that all who believe in him may have eternal life.
184561680,JHN,3,16,"Porque Dios amó tanto al mundo, que dió a Su único Hijo, para que cualquiera que cree en Él no muera, sino que tenga vida eterna.","""For God so loved the world, that he gave his only Son, that whoever believes in him will not perish but have eternal life."
184561681,JHN,3,17,"Porque Dios no envió al Hijo al mundo a fin de condenar al mundo, sino para salvar al mundo a través de Él.","For God did not send the Son into the world in order to condemn the world, but in order to save the world through him."
184561682,JHN,3,18,"Aquel que cree en Él no es condenado, pero aquel que no cree ya es condenado, porque no cree en el nombre del único Hijo de Dios.","He who believes in him is not condemned, but he who does not believe is already condemned because he has not believed in the name of the only Son of God."
184561683,JHN,3,19,"Esta es la razón para el juicio: que la Luz ha venido al mundo y los hombres amaron más la oscuridad que la Luz, porque sus obras eran malas.","This is the reason for the judgment: The light has come into the world, and men loved the darkness rather than the light because their deeds were evil."
184561684,JHN,3,20,Porque todo el que hace lo malo odia la Luz y no viene a la Luz para que sus obras no sean expuestas.,"For everyone who does evil hates the light, and does not come to the light, so that his deeds will not be exposed."
184561685,JHN,3,21,"Sin embargo, aquel que practica la verdad viene a la Luz para que sus obras, que se realizan en Dios, sean reveladas.""","However, he who practices the truth comes to the light so that it may be plainly seen that his deeds have been done in God."""
184561686,JHN,3,22,"Después de esto, Jesús y sus discípulos fueron a la tierra de Judea. Allí paso algún tiempo con ellos y bautizaba.","After this, Jesus and his disciples went into the land of Judea. There he spent some time with them and baptized."
184561687,JHN,3,23,"Ahora, Juan también estaba bautizando en Enón, cerca de Salim, porque había muchas aguas allí. La gente venía a él y eran bautizadas,","Now John was also baptizing in Aenon near to Salim because there was much water there. People were coming to him and were being baptized,"
184561688,JHN,3,24,porque Juan todavía no había sido puesto en prisión.,for John had not yet been thrown in prison.
184561689,JHN,3,25,"Entonces se levantó una disputa entre algunos de los discípulos de Juan y un judío, acerca de lavarse para ser aceptables a Dios.",Then there arose a dispute between some of John's disciples and a Jew about ceremonial washing.
184561690,JHN,3,26,"Ellos fueron a Juan y le dijeron: ""Rabí, el que estaba contigo en el otro lado del Río Jordán, de quien diste testimonio, está bautizando y todos están yendo a Él.""","They went to John and said to him, ""Rabbi, the one who was with you on the other side of the Jordan River, about whom you have testified, look, he is baptizing, and they are all going to him."""
184561691,JHN,3,27,"Juan respondió: ""Un hombre nada puede recibir a menos que le sea dado desde el cielo.","John replied, ""A man cannot receive anything unless it has been given to him from heaven."
184561692,JHN,3,28,"Ustedes mismos pueden testificar que dije: 'yo no soy el Cristo', sino que dije: 'yo he sido enviado delante de Él.'","You yourselves can testify that I said, 'I am not the Christ,' but instead, 'I have been sent before him.'"
184561693,JHN,3,29,"La esposa le pertenece al esposo. Mas el amigo del esposo, que está a su lado y lo oye, se goza grandemente por la voz del esposo. Así entonces, este mi gozo es completado.","The bride belongs to the bridegroom. Now the friend of the bridegroom, who stands and hears him, rejoices greatly because of the voice of the bridegroom. This, then, is my joy made complete."
184561694,JHN,3,30,"Es necesario que Él crezca, pero que yo decrezca.","He must increase, but I must decrease."
184561695,JHN,3,31,"Aquel que viene de arriba, está por encima de todos. Aquel que es de la tierra, de la tierra es y de la tierra habla. Aquel que viene desde el cielo, está sobre todos.","""He who comes from above is above all. He who is from the earth is from the earth and speaks about the earth. He who comes from heaven is above all."
184561696,JHN,3,32,"Él testifica de lo que ha visto y oído, pero nadie acepta Su testimonio.","He testifies about what he has seen and heard, but no one accepts his testimony."
184561697,JHN,3,33,"Aquel que ha recibido su testimonio, ha confirmado que Dios es verdad.",He who has received his testimony has confirmed that God is true.
184561698,JHN,3,34,Porque Aquel a quien Dios ha enviado habla las palabras de Dios. Porque Él no da el Espíritu por medida.,For the one whom God has sent speaks the words of God. For he does not give the Spirit by measure.
184561699,JHN,3,35,El Padre ama al Hijo y le ha dado todas las cosas en su mano.,The Father loves the Son and has given all things into his hand.
184561700,JHN,3,36,"Aquel que cree en el Hijo tiene vida eterna, pero aquel que desobedece al Hijo no verá la vida, sino que la ira de Dios permanece sobre él.""","He who believes in the Son has eternal life, but the one who disobeys the Son will not see life, but the wrath of God stays on him."""
184565761,JHN,4,1,Ahora cuando Jesús supo que los fariseos habían oído que Él estaba haciendo y bautizando más discípulos que Juan,Now when Jesus knew that the Pharisees had heard that he was making and baptizing more disciples than John
184565762,JHN,4,2,"(aunque Jesús mismo no bautizaba, sino sus discípulos),","(although Jesus himself was not baptizing, but his disciples were),"
184565763,JHN,4,3,Él dejó Judea y regreso nuevamente a Galilea.,he left Judea and went back again to Galilee.
184565764,JHN,4,4,Pero era necesario para Él pasar a través de Samaria.,But it was necessary for him to go through Samaria.
184565765,JHN,4,5,"Entonces Él llegó a un ciudad de Samaria, llamado Sicar, cerca de la porción de tierra que Jacob le había dado a su hijo José.","So he came to a town of Samaria, called Sychar, near the piece of land that Jacob had given to his son Joseph."
184565766,JHN,4,6,El pozo de Jacob se encontraba allí. Jesús estaba cansado del camino y se sentó junto del pozo. Era cerca de la hora sexta.,The well of Jacob was there. Jesus was tired from his journey and sat by the well. It was about the sixth hour.
184565767,JHN,4,7,"Una mujer samaritana vino a sacar agua, y Jesús le dijo: ""Dame un poco de agua para beber.""","A Samaritan woman came to draw water, and Jesus said to her, ""Give me some water to drink."""
184565768,JHN,4,8,Sus discípulos habían ido a la ciudad a comprar comida.,For his disciples had gone away into the town to buy food.
184565769,JHN,4,9,"Entonces la mujer samaritana le dijo a Él: ""¿Cómo tú, siendo judío, me pides a mí, que soy una mujer samaritana, algo de beber?"" Porque los judíos no tienen tratos con los samaritanos.","Then the Samaritan woman said to him, ""How is it that you, being a Jew, are asking me, being a Samaritan woman, for something to drink?"" For Jews have no dealings with Samaritans."
184565770,JHN,4,10,"Jesús le contestó a ella: ""Si conocieses el don de Dios, y quién es, el que te dice: 'Dame de beber,' tú le pedirías a Él, y Él te daría agua viva.""","Jesus answered and said to her, ""If you had known the gift of God, and who it is that is saying to you, 'Give me a drink,' you would have asked him, and he would have given you living water."""
184565771,JHN,4,11,"La mujer le contestó: ""Señor, no tienes con que sacarla, y el pozo es profundo. ¿Dónde, entonces, tienes el agua viva?","The woman said to him, ""Sir, you do not have a bucket and the well is deep. Where then do you have the living water?"
184565772,JHN,4,12,"¿Tú no eres más grande que nuestro padre Jacob, quien nos dio este pozo del cual él mismo tomó, como también lo hicieron sus hijos y su ganado o lo eres?","You are not greater, are you, than our father Jacob, who gave us the well and drank from it himself, as did his sons and his livestock?"""
184565773,JHN,4,13,"Jesús le contestó: ""Todo el que bebe de esta agua tendrá sed otra vez,","Jesus replied and said to her, ""Everyone who drinks from this water will be thirsty again,"
184565774,JHN,4,14,"pero quienquiera que tome del agua que Yo le daré, no volverá a tener sed jamás. En cambio, el agua que Yo le daré se volverá una fuente de agua en él, brotando para vida eterna.""","but whoever drinks from the water that I will give him will not ever be thirsty again. Instead, the water that I will give him will become a fountain of water in him, springing up to eternal life."""
184565775,JHN,4,15,"La mujer le dijo: ""Señor, dame de esta agua para que ya no tenga sed y no tenga que volver aquí a sacar agua.""","The woman said to him, ""Sir, give me this water so that I may not become thirsty and not have to come here to draw water."""
184565776,JHN,4,16,"Jesús le dijo: ""Ve, llama a tu esposo, y vuelve acá.""","Jesus said to her, ""Go, call your husband, and come back here."""
